epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,remote_pitch_inlier@5,remote_pitch_median_error,remote_pitch_num_pairs,remote_roll_inlier@5,remote_roll_median_error,remote_roll_num_pairs,remote_scale_inlier@5,remote_scale_median_error,remote_scale_num_pairs,remote_translation_inlier@5,remote_translation_median_error,remote_translation_num_pairs,remote_yaw_inlier@5,remote_yaw_median_error,remote_yaw_num_pairs,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205449,,0.09300611168146133,,0.003535280469805002,,,0.05650301277637482,,0.0009879365097731352,0.04972562938928604,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205499,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205499,,0.09328726679086685,,0.004782374016940594,,,0.06266691535711288,,0.0009066298953257501,0.05582253634929657,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205549,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205549,,0.0934942364692688,,0.0031590103171765804,,,0.06914269924163818,,0.001851215842179954,0.06032438576221466,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205599,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205599,,0.09296998381614685,,0.002787773497402668,,,0.06002287566661835,,0.000973588670603931,0.05177966505289078,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205649,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205649,,0.09382663667201996,,0.003637358546257019,,,0.0788683146238327,,0.0034176181070506573,0.07014963030815125,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205699,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205699,,0.09291967749595642,,0.004216250963509083,,,0.06174207478761673,,0.0014681576285511255,0.055078066885471344,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205749,,,,,,,,,,,,
