epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_mixed_inlier@5,remote_mixed_median_error,remote_mixed_num_pairs,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
46,,,,,,,,,,,,,,,,,,57649,,0.09048362076282501,,2.8376872539520264,,,2.062730312347412,,0.494030237197876,4.981902122497559,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57699,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57699,,0.09061369299888611,,2.66265606880188,,,2.061171054840088,,0.512459397315979,4.824052333831787,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57749,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57749,,0.09004543721675873,,2.551466941833496,,,2.062748670578003,,0.4976949691772461,4.6993608474731445,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57799,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57799,,0.09077023714780807,,2.471174716949463,,,2.0599098205566406,,0.4867911636829376,4.605893611907959,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57849,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57849,,0.0899481549859047,,2.7100954055786133,,,2.0620503425598145,,0.5078338980674744,4.867569446563721,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57899,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57899,,0.09055209159851074,,2.7013230323791504,,,2.0609681606292725,,0.49277782440185547,4.8428754806518555,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57949,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57949,,0.09133698791265488,,2.9396440982818604,,,2.0626747608184814,,0.5033066272735596,5.093090057373047,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57999,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57999,,0.08993791788816452,,2.7653918266296387,,,2.0625252723693848,,0.5104721188545227,4.925884246826172,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58049,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58049,,0.0911298543214798,,2.6482350826263428,,,2.0612680912017822,,0.5041186809539795,4.801368713378906,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58099,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58099,,0.09040361642837524,,2.6679015159606934,,,2.0594780445098877,,0.49429047107696533,4.809774398803711,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58149,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58149,,0.09062012284994125,,2.7801389694213867,,,2.06235408782959,,0.4988095760345459,4.928832054138184,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58199,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58199,,0.09047141671180725,,2.958235263824463,,,2.062913417816162,,0.5077674984931946,5.116333961486816,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58249,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58249,,0.09065692871809006,,2.8237810134887695,,,2.061509847640991,,0.5094385147094727,4.982427597045898,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58299,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58299,,0.09022054076194763,,2.9517645835876465,,,2.0650761127471924,,0.501335620880127,5.105161190032959,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58349,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58349,,0.09027053415775299,,2.4939889907836914,,,2.060987949371338,,0.5114907622337341,4.654270172119141,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58399,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58399,,0.09091702103614807,,3.1506903171539307,,,2.0635223388671875,,0.5077216625213623,5.309229850769043,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58449,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58449,,0.09071923047304153,,2.616763114929199,,,2.060605525970459,,0.5111863613128662,4.776433944702148,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58499,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58499,,0.0911082923412323,,2.74485182762146,,,2.0634756088256836,,0.4970166087150574,4.892648696899414,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58549,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58549,,0.09112681448459625,,2.720878839492798,,,2.0602896213531494,,0.49204370379447937,4.861154079437256,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58599,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,58599,,0.09068851172924042,,2.5623724460601807,,,2.060433864593506,,0.505138635635376,4.715858459472656,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,58649,,,,,,,,,,,,
